,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Seabirds,1,0.0002,0.13,0.13,73.69,0.447,0.072,0.002,0.2,
2,Baleen whales,1,0.0251,0.04,0.04,12.19,0,0.04,0.003,0.2,
3,Deep-diving whales,1,0.0145,0.04,0.04,5.44,0,0.04,0.007,0.2,
4,Killer whales,1,0.0016,0.02,0.02,9.64,0.322,0.014,0.002,0.2,
5,Shallow-diving small cetaceans,1,0.0336,0.05,0.05,13.5,0.796,0.01,0.004,0.2,
6,Swordfish,1,0.007,0.37,0.37,5.31,0.911,0.033,0.07,0.2,
7,Other Billfishes,1,0.0099,0.46,0.46,4.6,0.95,0.023,0.1,0.2,
8,Yellowfin tuna,1,0.0059,2,2,15.53,0.95,0.1,0.129,0.2,
9,Skipjack,1,0.0119,1.96,1.96,19.61,0.695,0.598,0.1,0.2,
10,Albacore,1,0.0097,0.78,0.78,7.8,0.888,0.087,0.1,0.2,
11,Bigeye,1,0.0017,1.759,1.759,17.59,0.769,0.406,0.1,0.2,
12,Blackfin tuna,1,0.0052,1.85,1.85,9.89,0.95,0.092,0.187,0.2,
13,Other offshore predators,1,0.29,1.87,1.87,7.44,0.185,1.525,0.251,0.2,
14,Mackerels,1,0.065,1.09,1.09,10.31,0.642,0.391,0.106,0.2,
15,Wahoo,1,0.001,2.5,2.5,31.81,0.95,0.125,0.079,0.2,
16,Dolphinfish,1,0.0278,4.72,4.72,20,0.959,0.196,0.236,0.2,
17,Pelagic sharks,1,0.0116,0.4,0.4,10,0.99,0.004,0.04,0.2,
18,Flyingfish,1,0.208,4,4,24.76,0.95,0.2,0.162,0.2,
19,Coastal predators,1,1.257,0.72,0.72,7.22,0.95,0.036,0.1,0.2,
20,Small offshore pelagics,1,7.394,3.6,3.6,14.64,0.332,2.403,0.246,0.2,
21,Small coastal pelagics,0.02,12.2,3.5,3.5,14.64,0.957,0.152,0.239,0.2,
22,Small Mesopelagic fish,1,8.724,3.76,3.76,15,0.95,0.188,0.251,0.2,
23,Large Mesopelagic fish,1,10.833,0.355,0.355,3.55,0.177,0.292,0.1,0.2,
24,Leatherback turtles,1,0.0006,0.15,0.15,3.5,0.99,0.001,0.043,0.2,
25,Other turtles,0.02,0.0383,0.15,0.15,3.5,0.99,0.001,0.043,0.2,
26,Small squid,1,1.157,5.5,5.5,18.33,0.95,0.275,0.3,0.2,
27,Large squid,1,0.177,4.6,4.6,15.86,0.359,2.947,0.29,0.2,
28,Small Zooplankton,1,40,17.3,17.3,57.7,0.666,5.785,0.3,0.4,
29,Large Zooplankton,1,9.636,8.7,8.7,29,0.152,7.374,0.3,0.4,
30,Phytoplankton,1,32,42.8,42.8,,0.842,6.759,,,
31,Detritus,1,15.075,,,,0.719,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
