,Group name,TL
1,Seabirds,4.49
2,Baleen whales,4.30
3,Deep-diving whales,5.13
4,Killer whales,4.75
5,Shallow-diving small cetaceans,4.76
6,Swordfish,4.71
7,Other Billfishes,4.37
8,Yellowfin tuna,4.86
9,Skipjack,4.85
10,Albacore,4.58
11,Bigeye,4.50
12,Blackfin tuna,4.20
13,Other offshore predators,4.57
14,Mackerels,4.27
15,Wahoo,4.81
16,Dolphinfish,4.44
17,Pelagic sharks,4.76
18,Flyingfish,3.03
19,Coastal predators,3.60
20,Small offshore pelagics,2.96
21,Small coastal pelagics,2.96
22,Small Mesopelagic fish,3.05
23,Large Mesopelagic fish,4.02
24,Leatherback turtles,3.99
25,Other turtles,3.50
26,Small squid,3.86
27,Large squid,4.40
28,Small Zooplankton,2.00
29,Large Zooplankton,3.01
30,Phytoplankton,1.00
31,Detritus,1.00
