,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Diatoms,1,34.09,,237.5,,0.82,,,,
2,Dino/silicoflagellates,1,13.38,,237.5,,0.97,,,,
3,Microzooplankton,1,13.54,,256,1024,0.96,,0.25,0.20,
4,Mesozooplankton,1,24.08,,40,125,0.93,,0.32,0.35,
5,Macrozooplankton,1,37.42,,19.09,46.55,0.95,,0.41,0.20,
6,Gelatinous zooplankton,1,0.01,,0.58,2.92,0.95,,0.2,0.35,
7,Chrysaora plocamia,1,8.46,,15,56,0,,0.27,0.35,
8,Macrobenthos,1,23.17,,1.2,10,0.79,,0.12,0.20,
9,Sardine,1,10.74,,1.4,12,0.97,,0.12,0.35,
10,Anchovy ,1,58.32,,2,15,0.81,,0.13,0.35,
11,Mesopelagic fish,1,14.63,,1.4,14,0.26,,0.1,0.35,
12,Jumbo squid,1,0.38,,8.91,25.46,0.8,,0.35,0.20,
13,Other cephalopods,1,1.81,,4.3,10,0.95,,0.43,0.20,
14,Other small pelagic fish,1,11,,1,10,0.9,,0.1,0.35,
15,Horse mackerel,1,7.3,,1.2,10,0.24,,0.12,0.35,
16,Chub mackerel,,7.69,,0.85,10,0.16,,0.09,0.25,
17,Other large pelagic fish,1,1.17,2.3,0.63,6.25,0.53,,0.1,0.20,
18,Small hake ,1,2.01,1.5,1.12,7.48,0.72,,0.15,0.35,
19,Medium hake,1,0.29,,1.79,11.91,0.14,,0.15,0.20,
20,Large hake ,1,0.04,,1.28,8.53,0.87,,0.15,0.20,
21,Flatfish,1,0.03,,0.3,2.03,1,,0.15,0.20,
22,Small demersal fish,1,5.23,,2.3,15.33,0.73,,0.15,0.20,
23,Benthic elasmobranchs,,0.06,,1,6.67,0.66,,0.15,0.20,
24,Butter fishes,1,0.02,2.36,0.8,4,0.54,,0.2,0.20,
25,Conger,1,0.01,1.43,0.75,5,0.01,,0.15,0.20,
26,Medium demersal fish,1,0.21,,1.9,12.67,0.82,,0.15,0.20,
27,Medium sciaenids,,0.29,,0.92,6.1,0.71,,0.15,0.20,
28,Sea robin,1,0.55,2.6,3.31,16.55,0.46,,0.2,0.20,
29,Catfish,1,0.61,1.44,0.9,6,0.82,,0.15,0.20,
30,Chondrichthyans,1,0.05,,0.49,3.24,0.56,,0.15,0.20,
31,Seabirds,1,0.04,,0.04,61,0,,0,0.20,
32,Pinnipeds,1,0.06,,0.1,36.95,0,,0,0.26,
33,Cetaceans,,0.06,,0.1,20,0,,0,0.20,
34,Green sea turtle,1,0,2.87,0.19,3.5,0,,0.05,0.20,
35,Leatherback turtle,1,0,0.9,0.19,3.5,0,,0.05,0.20,
36,Anchovy eggs,1,0.44,,,,0.88,,,,
37,Fishery offal,1,0.05,,,,0,,,,
38,Pelagic detritus,1,20,,,,0,,,,
39,Benthic detritus,1,60,,,,0.89,,,,
40,Artisanal fisheries,1,,,,,,,,,
41,Commercial fisheries,1,,,,,,,,,
