,Prey \ predator,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,Diatoms,0.27,0.575,0.5,0,0.010,0,0.0823,0.243033348,0,0,0,0.3,0,0.025615,0,0,0,0,0,0.6,0,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dino/silicoflagellates,0.13,0.275,0.25,0,0.000,0,0.026765,0.002666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Microzooplankton,0.175,0.15,0.25,0,0.000,0,0.021,0.000349217,0,0,0,0,0,2.455E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Mesozooplankton,0,0,0,0.64,0.731,0,0.629,0.388337685,0.15,0.0655,0,0.65,0.0555,0.132975,0,0,0,0,0,0.4,0,0.08,0,0,0,0,0.00213,0,0,0,0,0,0,0,0,0,0
5,Macrozooplankton,0,0,0,0.12,0.105,0,0.24,0.364597437,0.85,0.203,0.89,0,0.3273,0.2815,0.001,0.14,0.007,0.06605,0,0,0.0399,0.01315,0,0.166,0.0003815,0.793,0.054,0.0105,0,0,0.3,0.039,0,0,0,0,0
6,Gelatinous zooplankton,0,0,0,0.04,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214,0,0,0,0,0,0,0,0.25,0,0,0,0
7,Chrysaora plocamia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.42,0.75,0,0,0,0
8,Macrobenthos,0,0,0,0,0,0.05,0,0,0,0,0,0,0.0125,0.005,0,0.154,0.035,0.0025,0.14,0,0.5585,0.32,0.114,0.6215,0.55695,0.09815,0.778,0.0415,0,0,0,0.54,0,0,0,0,0
9,Sardine,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04925,0,0.05,0,0,0,0,0.0238,0,0,0,0.00865,0,0,0,0.2235,0,0,0,0,0,0,0,0
10,Anchovy ,0,0,0,0,0,0,0,0,0,0.068,0,0,0.375,0.40035,0.6605,0.2135,0.36,0.014,0.5,0,0.08,0,0,0.059,0.187,0,0.099,0.212,0.6275,0.458,0.1,0.003,0,0,0,0,0
11,Mesopelagic fish,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0.0016175,0,0.08,0.084,0.0155,0,0,0,0,0,0,0.000487,0,0,0,0,0.030975,0,0,0,0,0,0,0
12,Jumbo squid,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.0357,0.042,0.006,0.0555,0,0,0.01335,0,0,0,0.00232,0,0,0.3545,0,0,0.2,0,0,0,0,0,0
13,Other cephalopods,0,0,0,0,0,0,0,0,0,0.07,0,0,0.03,0.0405,0.04425,0.0575,0.004,0.0035,0,0,0.0645,0,0.0371,0.0225,0.019465,0,0,0.09,0,0,0,0,0,0,0,0,0
14,Other small pelagic fish,0,0,0,0,0,0,0,0,0,0.0413,0,0,0.01725,0.035,0.10564,0.084,0.14,0.01,0,0,0.003415,0,0,0.006185,0.05,0.109,0.000615,0,0.0809,0.008355,0,0,0,0,0,0,0
15,Horse mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0.002985,0,0,0,0,0,0,0.0105,0.0075,0.01595,0.2,0,0,0,0,0,0
16,Chub mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
17,Other large pelagic fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0.0025,0,0,0,0.001535,0,0,0.1842,0,0,0,0,0,0,0,0,0
18,Small hake ,0,0,0,0,0,0,0,0,0,0.0319,0,0,0,0,0,0,0,0.396,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0
19,Medium hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02455,0,0.216,0,0,0,0,0.0080945,0,0,0,0,0,0,0,0,0
20,Large hake ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0
21,Flatfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003675,0,0.009205,0.000565,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Small demersal fish,0,0,0,0,0,0,0,0,0,0,0.01,0,0.0102075,0.023271375,0.153,0.1575,0.22,0.092,0,0,0.10815,0,0.0311,0.108,0.13,0,0,0.01105,0.0608,0.46,0,0,0,0,0,0,0
23,Benthic elasmobranchs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Butter fishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0.0015,0,0,0,0.0012735,0,0,0,0,0,0,0,0,0,0,0,0
25,Conger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Medium demersal fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.007,0.36,0,0.02435,0,0.3255,0.016,0.01,0,0,0.0105,0,0.02,0,0,0,0,0,0,0
27,Medium sciaenids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.018065,0,0,0,0.02,0,0,0,0,0.006945,0,0,0,0,0,0,0
28,Sea robin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155,0,0.02,0.14,0.0915,0,0,0,0,0.233,0,0,0,0,0.0105,0,0,0,0,0,0,0,0,0
29,Catfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
30,Chondrichthyans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pinnipeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cetaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Green sea turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Leatherback turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Anchovy eggs,0,0,0,0,0.15,0,0.001,0.001409609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Fishery offal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Pelagic detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Benthic detritus,0.425,0,0,0.2,0,0.82,0,0,0,0,0,0,0.12225,0,0,0,0,0,0,0,0.0225,0.092,0.034,0,0.01065,0,0.03632,0,0,0,0,0,0,0,0,0,0
,Import,0,0,0,0,0,0.13,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
