,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Phytoplankton,1,146.23,,137,,0.05,,,,
2,Microzooplankton,1,0.67,,534,1476,0.95,,0.36,,
3,Mesozooplankton,1,7.271,,14.6,40.15,0.95,,0.36,,
4,Macrozooplankton,1,8.331,,5.48,17.52,0.95,,0.31,,
5,Benthos,1,11.645,,2.7,36,0.24,,0.08,,
6,Small pelagic fish,1,8.427,,1.15,10,0.95,,0.12,,
7,Other demersal fish,1,0.774,,0.7,3.5,0.95,,0.2,,
8,Hoki (j),1,2.927,,1.2,6.24,0.81,,0.19,,
9,Hoki (a),1,2.722,,0.7,3.11,0.04,,0.23,,
10,Southern blue whiting,1,1.4,,0.42,3.6,0.91,,0.12,,
11,Kingklip,1,0.197,,0.39,1.4,0.21,,0.28,,
12,Skates,1,0.073,,0.15,1.24,0.09,,0.12,,
13,Southern hake,1,3.14,,0.19,0.68,0.66,,0.28,,
14,Sea lions,1,0.035,,0.2,14.36,0,,0.01,,
15,Detritus,1,,,,,0.02,,,,
