,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Seals,0.6918,0.267418,0.07,0.070,12.000,0.800,0.01,0.006,,
2,Cetaceans,0.8050,0.033540,0.09,0.090,6.775,0.008,0.09,0.013,,
3,Seabirds,1,0.005000,0.80,0.800,53.500,0.800,0.16,0.015,,
4,Halibut/turbot/brill,0.3082,0.872810,0.35,0.350,1.800,0.800,0.07,0.194,,
5,Whiting,0.8050,3.175155,0.70,0.700,2.400,0.883,0.08,0.292,,
6,Other demersals,0.3082,12.910448,0.77,0.770,2.567,0.933,0.05,0.300,,
7,Sharks,0.3082,2.212849,0.16,0.160,3.000,0.926,0.01,0.053,,
8,Rays/Skates,1,1.400000,0.48,0.480,1.450,0.798,0.10,0.331,,
9,Cod,0.8050,2.868323,0.75,0.750,3.797,0.851,0.11,0.198,,
10,Saithe,0.3082,0.807917,0.87,0.870,4.023,0.915,0.07,0.216,,
11,Other pelagics,1,4.326000,0.87,0.869,2.895,0.923,0.07,0.300,,
12,Crabs/lobsters,0.6918,0.345476,4.50,4.500,30.000,0.900,0.45,0.150,,
13,Gurnards,0.1925,0.779221,1.40,1.400,4.667,0.723,0.39,0.300,,
14,Haddock,0.3082,2.323167,1.00,1.000,4.000,0.800,0.20,0.250,,
15,Inshore fish,0.1950,1.061538,5.00,5.000,16.667,0.900,0.50,0.300,,
16,Salmo,0.1950,0.200000,0.80,0.800,3.570,0.800,0.16,0.224,,
17,Mackerel,0.8050,1.037267,1.02,1.021,3.950,0.950,0.05,0.259,,
18,Trachurus,0.3082,6.077223,0.70,0.700,2.900,0.805,0.14,0.241,,
19,Plaice,0.6918,2.366291,0.98,0.975,3.420,0.792,0.20,0.285,,
20,Sole,0.6918,0.659150,0.80,0.800,2.700,0.869,0.10,0.296,,
21,Nephrops,0.7830,2.809706,3.00,3.000,10.000,0.497,1.51,0.300,,
22,Norway pout,0.8050,0.490683,2.00,2.000,7.000,0.900,0.20,0.286,,
23,Cephalopods,1,0.386000,3.00,3.000,10.000,0.835,0.50,0.300,,
24,Sandeel,0.7830,1.118774,3.00,3.000,10.250,0.800,0.60,0.293,,
25,Sprat,0.6918,2.074299,1.90,1.900,8.500,0.800,0.38,0.224,,
26,Herring,0.7830,4.609195,1.80,1.800,7.000,0.818,0.33,0.257,,
27,Echinoderms,1,3.945000,4.00,4.000,16.000,0.920,0.32,0.250,,
28,Other benthic inverts,1,7.306000,6.00,6.000,24.000,0.950,0.30,0.250,,
29,Prawns/shrimps,0.6918,23.579069,3.00,3.000,12.000,0.917,0.25,0.250,,
30,Euphausiids,1,2.317000,9.00,9.000,36.000,0.862,1.24,0.250,,
31,Large zooplankton,0.8050,7.811180,10.00,10.000,35.000,0.879,1.21,0.286,,
32,Polychaetes,1,10.000000,5.00,5.000,16.667,0.430,2.85,0.300,,
33,Small zooplankton,1,7.809000,18.00,18.000,72.000,0.800,3.60,0.250,,
34,Epifauna,1,10.584000,20.00,20.000,80.000,0.384,12.32,0.250,,
35,Infauna,1,1.561000,20.00,20.000,80.000,0.731,5.38,0.250,,
36,Phytoplankton,1,80.000000,70.00,70.000,,0.182,57.21,,,
37,Detritus,1,100.000000,,,,0.205,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
