,Prey \ predator,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,Seals,,0.00054,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cetaceans,,,,,,,0.00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Seabirds,0.0005,0.00098,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Halibut/turbot/brill,0.0005,,0.00009,,0.001,,0.0005,0.001,0.001,0.001,0.00101,,0.00086,,,,,,,,,,,0.001,,,,,,,,,,,,,
5,Whiting,0.38259,0.00098,0.00435,0.1406,0.04841,0.008,0.029,,,,,,0.07384,,,0.01004,0.011,,,,,,,,,,,,,,,,,,,,
6,Other demersals,0.34279,0.06301,0.09289,0.02108,0.12305,0.02,0.0202,,,,,0.10474,0.0304,0.03993,,,0.0066,,,,,0.00278,,,,,,,,,,,,,,,
7,Sharks,,0.0001,,0.00105,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Rays/Skates,0.0001,,,,,0.05,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cod,0.01005,0.00185,0.00299,0.09342,0.009,0.05,0.02347,,0.07709,0.052,,,0.01268,,,0.0001,0.00532,,,,,,,,,,,,,,,,,,,,
10,Saithe,,0.00098,0.00043,,0.00664,,0.0005,,0.01572,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,
11,Other pelagics,,0.6364,0.00043,,0.12,0.1,,0.01,0.10723,0.012,0.03407,,0.0148,0.01847,,,0.01,,,,,,0.00191,,,,,,,,,,,,,,
12,Crabs/lobsters,0.001,,0.05,0.00526,,0.04,0.00939,0.024,,,,0.005,,,0.1,,,,,,,,0.00191,,,,,,,,,,,,,,
13,Gurnards,,,0.004,,,0.003,0.001,0.005,0.0017,,0.00495,,,0.00324,,,,,,,,,0.00191,,,,,,,,,,,,,,
14,Haddock,0.01005,0.0001,0.00041,0.02377,0.0136,,0.00224,,0.02013,0.037,0.00248,,0.00349,0.00043,,0.0002,0.007,0.01319,,,,,0.00382,,,,,,,,,,,,,,
15,Inshore fish,0.0005,0.00098,0.00043,,,0.08,0.00051,,,,,,,,,,,,,,,,0.01911,,,,,,,,,,,,,,
16,Salmo,0.00499,0.0049,,,,,0.004,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mackerel,0.01382,0.00098,,,,0.03,0.01663,,0.00597,,,,,,,0.00696,,,,,,,,,,,,,,,,,,,,,
18,Trachurus,0.04955,,,,0.0133,,0.01,,,0.06,0.03,,,,,,0.02,,,,,,0.01911,,,,,,,,,,,,,,
19,Plaice,0.001,,0.033,,,0.008,,0.02,0.03787,0.02,0.05817,,0.00005,,,,,,,,,,0.00764,,,,,,,,,,,,,,
20,Sole,0.001,,0.002,,,0.006,,0.02,,0.008,0.01272,,0.00005,,,,,,,,,,0.00764,,,,,,,,,,,,,,
21,Nephrops,,,0.00043,0.00951,,0.08,,0.13,0.01403,,0.09539,0.10473,,,,,,,,,,,0.00191,,,,,,,,,,,,,,
22,Norway pout,0.0005,,0.00405,0.00421,0.02,,0.00224,0.01,0.01482,0.2,0.00495,,0.00401,0.0093,,0.0002,0.01,0.01649,,,,,0.00382,,,,,,,,,,,,,,
23,Cephalopods,0.0174,0.00492,,0.23162,,,0.15049,,0.01822,0.005,0.02727,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sandeel,0.02362,0.07627,0.1,,0.05,0.05,0.02041,0.05,0.0435,0.03,0.02727,,0.08207,0.03,,0.051,0.01,,,,,,0.01911,,,0.0005,,,,,,,,,,,
25,Sprat,0.001,0.00492,0.1,,0.13,0.048,0.09642,0.04,0.001,0.09,0.0065,,0.00575,0.08,,0.012,0.01008,0.01649,,,,,0.00382,,,0.00026,,,,,,,,,,,
26,Herring,0.13904,0.00097,0.295,,0.34,0.03,0.31629,0.13,0.09261,0.15,0.02727,,0.0304,0.00059,,0.25,0.02,,,,,,0.01911,,,,,,,,,,,,,,
27,Echinoderms,,,0.11,0.16211,,0.05,,0.04,0.01404,,0.13633,0.20947,0.05428,0.12,0.1,,,,0.16882,0.03227,0.16138,0.052,,,,,0.08,,,,,,,,,,
28,Other benthic inverts,,0.00049,0.00425,0.20632,0.07,0.164,0.1086,0.1,0.05332,,0.23178,0.20947,0.04343,0.212,0.4,,,,0.31211,0.06848,0.1272,,0.00191,,,,0.24,0.0597,0.009,,,,,,,,
29,Prawns/shrimps,,0.00165,0.00425,0.10105,0.035,0.09,0.1,0.38,0.40689,0.115,0.09539,0.15711,0.37244,0.36984,0.1,0.10987,0.185,0.10286,0.13232,0.57274,,0.19322,,0.403,0.22822,0.15376,,,0.11,,,,,,,,
30,Euphausiids,,,,,0.02,0.008,0.04,,,0.2,,,,,,0.45,0.41,0.42081,,0.07218,0.1765,0.202,,0.015,0.01,0.18775,,,0.02181,,,,,,,,
31,Large zooplankton,,0.12934,,,,0.05,,,,0.02,0.03407,,0.21717,,,0.10953,0.19,0.20572,,,0.32278,0.55,0.59233,0.579,0.76178,0.65121,,,0.04361,0.02381,,,,,,,
32,Polychaetes,,,0.18,,,0.03,0.0001,0.04,0.07436,,0.13631,0.10474,0.05428,0.1162,0.1,,0.005,0.00936,0.38675,0.25433,0.05075,,0.0198,0.001,,,0.04,0.02303,0.00496,,,0.03558,,,,,
33,Small zooplankton,,0.06964,,,,,,,,,0.03407,,,,,,0.1,0.21508,,,0.16139,,0.27323,0.001,,,,0.09808,0.21062,0.22619,0.05333,,0.03,,,,
34,Epifauna,,,0.011,,,0.005,,,,,,0.05237,,,0.1,,,,,,,,0.00191,,,,0.4,0.31507,,,,,,,,,
35,Infauna,,,,,,,,,,,,0.05237,,,0.1,,,,,,,,,,,,,0.12603,,,,,,,,,
36,Phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,0.00652,,,0.2,0.57,0.85057,0.49948,0.8,0.25,0.025,,
37,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.37809,0.4,0.18,0.0961,0.46494,0.17,0.75,0.975,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
