,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Phytoplankton,1,323,,398,,,0.01,,,0
2,Benthic producer,1,153,,11.89,,,0.01,,,0
3,Zooplankton,1,9,,32,192,0.306,,,,0
4,Jellyfish,1,1.53,,5,20,0.52,,,,0
5,Polychaetes,1,2.24,,6.75,22.5,0.673,,,,0
6,Echinoderms,1,1.98,,1.2,3.58,0.444,,,,0
7,Benthic crustaceans,1,1.43,,5.65,26.9,0.617,,,,0
8,Non-ceph molluscs,1,2.68,,3.5,11.7,0.951,,,,0
9,Sessile/other invertebrates,1,2.61,,1,9,0.575,,,,0
10,Shrimps,1,0.194,,7.6,28.94,0.95,,,,0
11,Crabs,1,0.368,,3,12,0.95,,,,0
12,Cephalopods,1,0.68,,3.1,8,0.393,,,,0
13,Threadfin bream (nemipterids),1,0.26,,3.08,15.4,0.847,,,,0
14,Bigeyes (priacanthids),1,0.13,,3.33,11.3,0.55,,,,0
15,Lizard fish (synodontids),1,0.032,,1.6,5.407,0.658,,,,0
16,Juvenile Hairtail (trichiurids),1,0.015,,3.08,14.894,0.749,,,,0
17,Adult hairtail (trichiurids),1,0.012,,1.47,6.207,0.545,,,,0
18,Pomfret (stromateids),1,0.108,,3.03,15.15,0.95,,,,0
19,Snappers,1,0.0013,,1.75,8.984,0.95,,,,0
20,Adult groupers,1,0.0064,,1.75,6.1,0.95,,,,0
21,Croakers (30 cm),1,0.07,,3.3,11.276,0.958,,,,0
22,Juvenile large croakers,1,0.04,,3.3,16.366,0.564,,,,0
23,Croakers (> 30 cm),1,0.0094,,1.43,6.232,0.587,,,,0
24,Demesral fish (< 30 cm),1,0.316,,4.7,23.5,0.95,,,,0
25,Juvenile demersal fish (> 30 cm),1,0.143,,3.5,16.144,0.722,,,,0
26,Adult demersal fish (>30 cm),1,0.021,,2.1,6.207,0.747,,,,0
27,Benthopelagic fish,1,0.922,,3.08,15.42,0.479,,,,0
28,Melon seed,1,0.07,,2.41,24,0.994,,,,0
29,Pelagic fish (< 30 cm),1,1.772,,4.26,17.04,0.74,,,,0
30,Juvenile large pelagic fish,1,0.289,,4.26,16.12,0.622,,,,0
31,Pelagic fish (> 30 cm),1,0.079,,1.4,6.27,0.759,,,,0
32,Demersal sharks and rays,1,0.001,,1.2,6,0.867,,,,0
33,Pelagic sharks and rays,1,0.0011,,0.68,3.4,0.95,,,,0
34,Seabirds,1,0.0022,,0.06,67.759,0.046,,,,0
35,Pinnipeds,1,0.0046,,0.045,14.768,0.29,,,,0
36,Other mammals,1,0.0158,,0.112,10.523,0.034,,,,0
37,Marine turtles,1,0.0002,,0.1,3.5,0.3,,,,0
38,Detritus,1,100,,,,0.005,,,,0
