,Group name,PSt,ShT,PS,H&L,GN,Others,Total
1,Phytoplankton,0,0,0,0,0,0,0
2,Benthic producer,0,0,0,0,0,0.0056,0.006
3,Zooplankton,0,0,0.0065,0,0,0.0883,0.095
4,Jellyfish,0.0126,0,0.0314,0,0,0,0.044
5,Polychaetes,0,0,0,0,0,0,0
6,Echinoderms,0.0001,0.0019,0,0,0,0.0001,0.002
7,Benthic crustaceans,0.0003,0.0388,0,0,0,0,0.039
8,Non-ceph molluscs,0.0763,0.18,0,0,0,0.506,0.762
9,Sessile/other invertebrates,0.0001,0.0029,0,0,0,0,0.003
10,Shrimps,0.0801,0.576,0.0001,0,0,0.0226,0.679
11,Crabs,0.04,0.1,0,0,0.0421,0.0176,0.2
12,Cephalopods,0.153,0.0243,0.0627,0.0009,0,0.0324,0.273
13,Threadfin bream (nemipterids),0.459,0.0089,0,0.0651,0.0994,0.0246,0.657
14,Bigeyes (priacanthids),0.142,0.0029,0,0.021,0.0321,0.008,0.206
15,Lizard fish (synodontids),0.0012,0.0015,0,0,0.0166,0.0041,0.023
16,Juvenile Hairtail (trichiurids),0.0206,0.0005,0.0001,0,0.0054,0.0014,0.028
17,Adult hairtail (trichiurids),0.0047,0,0.0001,0.0009,0.0012,0.0003,0.007
18,Pomfret (stromateids),0.0809,0.0076,0.0154,0.0299,0.0843,0.0209,0.239
19,Snappers,0.0003,0.0001,0.0001,0.0002,0.0003,0.0001,0.001
20,Adult groupers,0.0013,0.0003,0,0.0012,0.0049,0.0012,0.009
21,Croakers (30 cm),0.0159,0.0117,0,0.0003,0.0027,0.0045,0.035
22,Juvenile large croakers,0.0371,0.0033,0,0.006,0.0168,0.0078,0.071
23,Croakers (> 30 cm),0.0046,0,0,0.0001,0.0032,0.0001,0.008
24,Demesral fish (≤ 30 cm),0.0085,0.076,0.01,0.0055,0.0262,0.0526,0.179
25,Juvenile demersal fish (> 30 cm),0.023,0.207,0.01,0,0.0613,0.0152,0.317
26,Adult demersal fish (>30 cm),0.0285,0,0,0.0023,0.0035,0.0009,0.035
27,Benthopelagic fish,0.342,0.0278,0.0607,0.001,0.058,0.113,0.603
28,Melon seed,0.0284,0.0023,0.005,0,0.0048,0.0094,0.05
29,Pelagic fish (≤ 30 cm),0.512,0,1.086,0,0.103,0.644,2.345
30,Juvenile large pelagic fish,0.208,0,0.0829,0,0.375,0.0725,0.738
31,Pelagic fish (> 30 cm),0.0185,0,0.0074,0.0165,0.0333,0.0064,0.082
32,Demersal sharks and rays,0.0006,0.0002,0,0,0.0002,0,0.001
33,Pelagic sharks and rays,0.0002,0,0,0.0002,0.0003,0,0.001
34,Seabirds,0,0,0,0,0,0,0
35,Pinnipeds,0,0,0,0,0,0,0
36,Other mammals,0,0,0,0,0,0,0
37,Marine turtles,0,0,0,0,0,0,0
38,Detritus,0,0,0,0,0,0,0
