,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Phytoplankton,1,16.52,,170.7,,0.205,,,,
2,Zooplankton,1,4.703,,40,160,0.308,,,,
3,Polychaetes,1,3.13,,6.7,24.2,0.541,,,,
4,Mollusks,1,9.51,,3,7,0.3,,,,
5,Benthic Crustaceans,1,1.6,,6.56,26.9,0.748,,,,
6,Echinoderms,1,3.46,,1.2,3.7,0.182,,,,
7,Other invertebrates,1,3.16,,1,9,0.616,,,,
8,Crabs,1,0.143,,4.5,12,0.916,,,,
9,Shrimps,1,0.161,,5.1,19.2,0.999,,,,
10,Cephalopods,1,0.549,,3,10,0.984,,,,
11,Planktivores,1,0.71,,3.588,14.74,0.998,,,,
12,Benthivores,1,0.0397,,2.116,7.176,0.995,,,,
13,Piscivores,1,0.348,,2.13,6.868,0.804,,,,
14,Hairtails,1,1.336,,1.104,6.467,0.998,,,,
15,Bombay duck,1,0.11,,2.12,8.964,0.956,,,,
16,Planktivores/Benthivores,,0.609,,1.176,10.68,0.916,,,,
17,Planktivores/Piscivores,1,2.588,,0.885,11.72,0.353,,,,
18,Benthivores/Piscivores,1,0.534,,3.91,9.327,0.985,,,,
19,Omnivores,1,0.136,,3.279,7.992,0.999,,,,
20,Large yellow croakers,1,0.00107,,2.13,4.913,0.997,,,,
21,Small yellow croakers,1,0.356,,4.3,8.997,0.226,,,,
22,Sharks,1,0.00889,,0.5,3.2,0,,,,
23,Marine mammals,,0.00404,,0.05,30,0,,,,
24,Detritus,1,100,,,,0.147,,,,
