,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Phytoplankton,1,43.2,,82.75,,0.411,,,,
2,Zooplankton,1,12.82,,40,160,0.274,,,,
3,Polychaetes,1,1.841,,6.7,24.2,0.462,,,,
4,Mollusks,1,0.343,,3,7,0.957,,,,
5,Benthic Crustaceans,1,1.53,,6.56,26.9,0.955,,,,
6,Echinoderms,1,6.427,,1.2,3.7,0.232,,,,
7,Other invertebrates,1,1.359,,2,9,0.795,,,,
8,Crabs,1,0.0534,,4.5,12,0.996,,,,
9,Shrimps,1,0.288,,5.1,19.2,0.998,,,,
10,Cephalopods,1,0.894,,3,10,0.946,,,,
11,Planktivores,1,4.701,,4.762,22.3,0.979,,,,
12,Benthivores,1,0.278,,2.156,8.497,0.965,,,,
13,Piscivores,1,0.275,,1.643,6.16,0.324,,,,
14,Hairtails,1,3.369,,2.9,5.6,0.338,,,,
15,Bombay duck,1,1.497,,2.12,6.19,0.953,,,,
16,Planktivores/Benthivores,,2.103,,1.048,11.4,0.667,,,,
17,Planktivores/Piscivores,1,1.294,,1.287,12.23,0.695,,,,
18,Benthivores/Piscivores,1,0.349,,1.451,9.921,0.952,,,,
19,Omnivores,1,0.439,,3.279,7.992,0.826,,,,
20,Large yellow croakers,1,0.0339,,1.441,3.767,0.307,,,,
21,Small yellow croakers,1,0.0832,,2.41,6.074,0.99,,,,
22,Sharks,1,0.00935,,0.5,3.2,0,,,,
23,Marine mammals,,0.00404,,0.05,30,0,,,,
24,Detritus,1,100,,,,0.241,,,,
