,Prey \ predator,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,Phytoplankton,0.7,0,0.221,0.234,0.56,0.6,0.218,0.152,0.087,0,0,0,0,0.051,0.013,0,0,0,0,0,0,0
2,Zooplankton,0,0,0.05,0.063,0.011,0,0.038,0.193,0.763,0.768,0.322,0.018,0.649,0.265,0.953,0.459,0.399,0.484,0.252,0.743,0,0.1
3,Polychaetes,0,0,0.1,0.068,0.028,0,0.146,0.121,0,0,0.155,0,0,0,0.001,0,0.198,0.044,0,0,0,0.004
4,Mollusks,0,0,0.004,0.016,0.012,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0.014
5,Benthic Crustaceans,0,0,0,0,0.003,0,0,0,0,0.089,0.044,0,0,0,0,0,0.002,0.001,0.073,0.006,0,0.002
6,Echinoderms,0,0,0,0,0.059,0,0,0,0,0,0.146,0,0,0,0,0,0,0.011,0,0,0,0.005
7,Other invertebrates,0,0,0.014,0.001,0.084,0,0.121,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.005
8,Crabs,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.02
9,Shrimps,0,0,0,0,0,0,0.022,0,0,0.002,0.062,0.015,0.001,0.003,0.001,0.001,0.006,0.004,0.232,0.052,0,0.02
10,Cephalopods,0,0,0,0,0,0,0,0,0,0,0.015,0.01,0.013,0.001,0,0.032,0.215,0.082,0.187,0.034,0,0.406
11,Planktivores,0,0,0,0,0,0,0,0,0.1,0.024,0.018,0.802,0.228,0.238,0.004,0.454,0.001,0.356,0.257,0.151,0.089,0.19
12,Benthivores,0,0,0,0,0,0,0,0,0,0,0.007,0.021,0.006,0.03,0,0.001,0.003,0.004,0,0.004,0.19,0
13,Piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.008,0.051
14,Hairtails,0,0,0,0,0,0,0,0,0,0,0.002,0.065,0.075,0.007,0,0.023,0,0.001,0,0.001,0.065,0.001
15,Bombay duck,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.234,0,0.029,0,0.001,0,0,0.031,0
16,Planktivores/Benthivores,0,0,0,0,0,0,0,0,0,0,0,0.027,0.001,0.011,0,0,0,0,0,0,0.108,0.03
17,Planktivores/Piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0.008,0,0.008,0.111,0.15
18,Benthivores/Piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.138,0.001
19,Omnivores,0,0,0,0,0,0,0,0,0,0,0.001,0.021,0.002,0.009,0,0,0.173,0.002,0,0,0.159,0
20,Large yellow croakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0
21,Small yellow croakers,0,0,0,0,0,0,0,0,0,0,0,0.02,0.001,0.001,0,0,0,0,0,0,0.047,0.001
22,Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Marine mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Detritus,0.3,1,0.611,0.618,0.243,0.4,0.455,0.534,0.05,0.117,0.224,0,0,0.147,0.027,0,0,0,0,0,0,0
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1,1,1,1,1,1,0.999,1,1,1.001,0.998,1.001,0.997,1,1.001,1,1.001,1.001,1.001,1,0.998,1.001
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
