,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Planktivores,1,0.18,,2.37,8.98,0.143,,,,
2,Piscivores,1,0.03,,0.8,4.5,0,,,,
3,Sebastes schlegelii,1,0.73,,1.01,5.3,0.002,,,,
4,Hexagrammos otakii,1,0.33,,0.92,4.95,0,,,,
5,Benthivores,1,1.2,,2.6,4.95,0.743,,,,
6,Enedrias fangi,1,1.36,,2.79,9.97,0.685,,,,
7,Gobiidae,1,2.06,,1.98,5.7,0.924,,,,
8,Cephalopoda,1,0.59,,3.3,11.2,0.318,,,,
9,Charybdis japonica,1,1.69,,1.5,9.6,0.915,,,,
10,Crustacean,1,3.22,,5.6,15.9,0.996,,,,
11,Gastropoda,1,1.58,,4.43,17.2,0.8,,,,
12,Shell fish-killers,1,1.56,,0.8,2.82,0.166,,,,
13,Crassostrea gigas,1,28.59,,6,10.5,0.045,,,,
14,Infauna,1,17.08,,1.67,8.35,0.96,,,,
15,Zooplankton,1,13.98,,25,122.1,0.107,,,,
16,Phytoplankton,,16.7,,106.2,,0.861,,,,
17,Algae,1,63.13,,9.88,,0.08,,,,
18,Detritus,1,24.87,,,,0.345,,,,
