,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Planktivores,1,0.21,,2.37,8.98,0.154,,,,
2,Piscivores,1,0.05,,0.8,4.5,0,,,,
3,Sebastes schlegelii,1,0.46,,1.01,5.3,0.004,,,,
4,Hexagrammos otakii,1,0.41,,0.92,4.95,0,,,,
5,Benthivores,1,1.54,,2.6,4.95,0.921,,,,
6,Enedrias fangi,1,2.28,,2.79,9.97,0.358,,,,
7,Gobiidae,1,5.3,,1.59,5.7,0.602,,,,
8,Cephalopoda,1,0.65,,3.3,11.2,0.589,,,,
9,Charybdis japonica,1,1.98,,1.5,9.6,0.872,,,,
10,Crustacean,1,4.45,,7.6,26.9,0.981,,,,
11,Gastropoda,1,2.47,,4.43,17.2,0.8,,,,
12,Shell fish-killers,1,1.58,,1.3,4.7,0.334,,,,
13,Crassostrea gigas,1,65.19,,6,27,0.029,,,,
14,Infauna,1,35.33,,1.67,8.35,0.96,,,,
15,Zooplankton,1,11.8,,25,122.1,0.249,,,,
16,Phytoplankton,1,19.41,,106.2,,0.996,,,,
17,Algae,1,121.17,,9.88,,0.086,,,,
18,Detritus,1,52,,,,0.567,,,,
