,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Charadriiformes,1,0.1,,0.1,4.33,0,,,,
2,Anseriformes,1,0.156,,0.1,9.28,0,,,,
3,Gruiformes,1,0.004,,0.1,13,0,,,,
4,Other benthic fishes,1,0.147,,0.85,2.84,0.999,,,,
5,Other pelagic fishes,1,0.096,,0.97,5.93,0.963,,,,
6,Dasyatidae,1,0.056,,1.28,4.65,0.767,,,,
7,Anguilliformes,1,0.072,,0.98,6.27,0.993,,,,
8,Pleuronectiformes,1,0.581,,0.97,4.22,0.74,,,,
9,Sciaenidae,1,0.078,,0.88,4.11,0.914,,,,
10,Engraulidae,1,0.183,,1.04,7.79,0.998,,,,
11,Stromateidae,1,0.229,,0.95,4.86,0.956,,,,
12,Decapod,1,0.33,,7.6,28.9,0.954,,,,
13,Brachyura,1,1.14,,3.5,12,0.666,,,,
14,Cephalopoda,1,0.136,,3.1,9.3,0.968,,,,
15,Benthic macrobenthos,1,9.932,,2,8.6,0.821,,,,
16,Benthic meiobenthos,,4.723,,9,33,0.354,,,,
17,Jellyfishes,1,2.4,,5,20,0.544,,,,
18,Zooplankton,1,3.935,,25,180,0.947,,,,
19,Phytoplankton,1,8.177,,200,0,0.339,,,,
20,Detritus,1,18,,,,0.257,,,,
