,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Baleen whales (OYC & OF),0.8,0.16,,0.07,5.1,0.08,,,,
2,Toothed whales (all),1,0.25,,0.08,8.16,0.01,,,,
3,Seabirds (all),1,0.01,,0.12,36.67,0,,,,
4,Sharks (all),1,0.2,,0.39,2.19,0.09,,,,
5,Tunas (all),1,0.04,,0.33,6.75,0.75,,,,
6,Skipjack (all),1,0.09,,0.46,16.2,0.77,,,,
7,Miscellaneous piscivores (all),1,0.53,,0.52,5,0.62,,,,
8,Yellowtail (OYC & KC),0.4,0.27,,0.93,3.1,0.56,,,,
9,Japanese sardine (all),1,0.78,,0.69,2.3,0.98,,,,
10,Japanese anchovy (all),1,0.68,,2.96,9.87,0.96,,,,
11,Pacific saury (all),1,0.94,,1.25,4.17,0.79,,,,
12,Chub mackerel (all),1,1.49,,0.66,2.2,0.74,,,,
13,Spotted mackerel (all),1,0.86,,0.64,2.13,0.97,,,,
14,Round herring (KC),0.2,0.35,,3.6,12,0.45,,,,
15,Jack mackerel (OYC & KC),0.4,0.16,,1.52,5.07,0.96,,,,
16,Righteye flounders (OYC),0.2,0.82,,0.42,1.4,0.97,,,,
17,Walleye pollock (OYC),0.2,4.89,,0.44,1.47,0.26,,,,
18,Pacific cod (OYC),0.2,1.5,,0.45,1.51,0.79,,,,
19,Miscellaneous bottom fishes (OYC),0.2,3.03,,0.45,1.51,0.87,,,,
20,Flatfishes (KC),0.2,0.06,,0.56,1.87,0.95,,,,
21,Seabreams (KC),0.2,0.08,,0.41,1.36,0.45,,,,
22,Demersal piscivores (KC),0.2,0.28,,0.7,2.32,0.95,,,,
23,Miscellaneous bottom fishes (KC),0.2,2.08,,0.7,2.32,0.97,,,,
24,Mesopelagic fishes (OYC),0.2,5.94,,1.5,6,0.9,,,,
25,Mesopelagic fishes (KC),0.2,4.99,,1.5,6,0.9,,,,
26,Mesopelagic fishes (OF),0.6,1.44,,1.5,6,0.9,,,,
27,Epipelagic cephalopods (all),1,0.68,,2.56,7.3,0.95,,,,
28,Mesopelagic cephalopods (all),1,0.52,,3.5,13.64,0.95,,,,
29,Benthos (OYC),0.2,7.72,,3.44,11.47,0.9,,,,
30,Benthos (KC),0.2,13.7,,3.22,10.73,0.61,,,,
31,Krill (OYC),0.2,19.31,,2.56,12.05,0.88,,,,
32,Krill (OF),0.6,8.05,,2.56,12.05,0.5,,,,
33,Zooplankton (OYC),0.2,35.65,,5.8,19.33,0.31,,,,
34,Zooplankton (KC),0.2,29.02,,5.8,19.33,0.36,,,,
35,Zooplankton (OF),0.6,41.88,,5.8,19.33,0.13,,,,
36,Phytoplankton (OYC),0.2,13.56,,153.78,,0.41,,,,
37,Phytoplankton (KC),0.2,10.01,,128.27,,0.45,,,,
38,Phytoplankton (OF),0.6,9.04,,153.78,,0.63,,,,
39,Detritus (OYC),0.2,47.91,,,,,,,,
40,Detritus (KC),0.2,30.18,,,,,,,,
41,Detritus (OF),0.6,47.5,,,,,,,,
