,Group name,Total
1,Baleen whales (OYC & OF),0.009
2,Toothed whales (all),0.009
3,Seabirds (all),
4,Sharks (all),0.01
5,Tunas (all),0.01
6,Skipjack (all),0.03
7,Miscellaneous piscivores (all),0.02
8,Yellowtail (OYC & KC),0.06
9,Japanese sardine (all),0.14
10,Japanese anchovy (all),0.2
11,Pacific saury (all),0.46
12,Chub mackerel (all),0.25
13,Spotted mackerel (all),0.11
14,Round herring (KC),0.04
15,Jack mackerel (OYC & KC),0.04
16,Righteye flounders (OYC),0.02
17,Walleye pollock (OYC),0.08
18,Pacific cod (OYC),0.03
19,Miscellaneous bottom fishes (OYC),0.03
20,Flatfishes (KC),0.009
21,Seabreams (KC),0.009
22,Demersal piscivores (KC),0.01
23,Miscellaneous bottom fishes (KC),0.02
24,Mesopelagic fishes (OYC),
25,Mesopelagic fishes (KC),0.009
26,Mesopelagic fishes (OF),
27,Epipelagic cephalopods (all),0.11
28,Mesopelagic cephalopods (all),
29,Benthos (OYC),0.01
30,Benthos (KC),0.01
31,Krill (OYC),0.03
32,Krill (OF),
33,Zooplankton (OYC),
34,Zooplankton (KC),
35,Zooplankton (OF),
36,Phytoplankton (OYC),
37,Phytoplankton (KC),
38,Phytoplankton (OF),
39,Detritus (OYC),
40,Detritus (KC),
41,Detritus (OF),
