,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,aaa,1,,,,,,,,,
2,bbb,1,,,,,,,,,
3,,1,,,,,,,,,
4,,1,,,,,,,,,
5,,1,,,,,,,,,
6,,1,,,,,,,,,
7,,1,,,,,,,,,
8,,1,,,,,,,,,
9,,1,,,,,,,,,
10,,1,,,,,,,,,
11,,1,,,,,,,,,
12,,1,,,,,,,,,
13,,1,,,,,,,,,
14,,1,,,,,,,,,
15,,1,,,,,,,,,
16,,,,,,,,,,,
17,,1,,,,,,,,,
18,,1,,,,,,,,,
19,,1,,,,,,,,,
20,,1,,,,,,,,,
21,,1,,,,,,,,,
22,,1,,,,,,,,,
23,,,,,,,,,,,
24,,1,,,,,,,,,
25,,1,,,,,,,,,
26,,1,,,,,,,,,
27,,,,,,,,,,,
28,,1,,,,,,,,,
29,,1,,,,,,,,,
30,,1,,,,,,,,,
31,,1,,,,,,,,,
32,,1,,,,,,,,,
33,,,,,,,,,,,
34,,1,,,,,,,,,
35,,1,,,,,,,,,
36,,1,,,,,,,,,
37,,1,,,,,,,,,
38,,1,,,,,,,,,
39,,1,,,,,,,,,
40,,1,,,,,,,,,
41,,1,,,,,,,,,
